"Data","Lançamento","Detalhes","N° documento","Valor","Tipo Lançamento"
"30/06/2026","Saldo Anterior","","","0,00",""
"02/07/2026","Saque dinheiro ATM cartao","02/07 16:01 SOP-BAIRRO BESSA","21601589999999","-3.000,00","Saída"
"02/07/2026","Saque dinheiro ATM cartao","02/07 16:04 SOP-BAIRRO BESSA","21604159999999","-1.500,00","Saída"
"02/07/2026","Saque dinheiro ATM cartao","02/07 16:07 SOP-BAIRRO BESSA","21607029999999","-500,00","Saída"
"02/07/2026","Pix - Enviado","02/07 20:33 SUPERMERCADO LITORAL","70201","-1.251,60","Saída"
"02/07/2026","BB Rende Fácil","Rende Facil","9903","6.251,60","Entrada"
"00/00/0000","Saldo do dia","","","0,00",""
"03/07/2026","Saque dinheiro ATM cartao","03/07 13:20 SOP-BAIRRO BESSA","31320249999999","-1.000,00","Saída"
"03/07/2026","BB Rende Fácil","Rende Facil","9903","1.000,00","Entrada"
"00/00/0000","Saldo do dia","","","0,00",""
"06/07/2026","Tarifa Pacote de Serviços","Cobrança referente 06/07/2026","831871103240906","-60,20","Saída"
"06/07/2026","BB Rende Fácil","Rende Facil","9903","60,20","Entrada"
"00/00/0000","Saldo do dia","","","0,00",""
"13/07/2026","S A L D O","","","0,00",""
